time,open,high,low,close,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,bar_index,bix_threshold,array.size(imba),Fractal High,Fractal Low,HH,LH,LL,HL,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,Tick (Open),Tick (High,Tick (Low),Tick (Close)
1683748500,4153.5,4154.25,4150,4152.5,0,0,0,0,0,0,0,0,18614,18514,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,653,797,-379,-340
1683748800,4152.5,4156.75,4151.75,4155.5,0,0,0,0,0,0,0,0,18615,18515,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683749100,4155.5,4156.5,4154.75,4155.75,0,0,0,0,0,0,0,0,18616,18516,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683749400,4155.5,4155.75,4154.25,4154.5,0,0,0,0,0,0,0,0,18617,18517,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683749700,4154.5,4155.5,4154,4154,0,0,0,0,0,0,0,0,18618,18518,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683750000,4154.25,4154.25,4152.5,4152.75,0,0,0,0,0,0,0,0,18619,18519,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683750300,4152.75,4154,4152.5,4153.75,0,0,0,0,0,0,0,0,18620,18520,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683750600,4153.5,4154.5,4153.25,4153.5,0,0,0,0,0,0,0,0,18621,18521,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683750900,4153.5,4153.5,4153,4153.25,0,0,0,0,0,0,0,0,18622,18522,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683751200,4153,4153,4152.5,4153,0,0,0,0,0,0,0,0,18623,18523,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683751500,4153,4153.25,4152.5,4152.5,0,0,0,0,0,0,0,0,18624,18524,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683751800,4152.75,4153.75,4152.5,4153.25,0,0,0,0,0,0,0,0,18625,18525,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683752100,4153.25,4153.5,4152.25,4152.75,0,0,0,0,0,0,0,0,18626,18526,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683756000,4152.75,4153,4151.5,4152.75,0,0,0,0,0,0,0,0,18627,18527,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683756300,4152.75,4153.5,4152.25,4153.25,0,0,0,0,0,0,0,0,18628,18528,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683756600,4153.25,4153.5,4153,4153.5,0,0,0,0,0,0,0,0,18629,18529,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683756900,4153.5,4154,4153,4153.25,0,0,0,0,0,0,0,0,18630,18530,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683757200,4153.25,4155,4153.25,4154.75,0,0,0,0,0,0,0,0,18631,18531,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683757500,4155,4155.25,4154.5,4155,0,0,0,0,0,0,0,0,18632,18532,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683757800,4154.75,4154.75,4153.75,4154,0,0,0,0,0,0,0,0,18633,18533,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683758100,4154,4154.5,4154,4154.25,0,0,0,0,0,0,0,0,18634,18534,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683758400,4154.25,4155.25,4154.25,4154.75,0,0,0,0,0,0,0,0,18635,18535,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683758700,4154.75,4155,4154,4154.25,0,0,0,0,0,0,0,0,18636,18536,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683759000,4154.25,4154.75,4154,4154.25,0,0,0,0,0,0,0,0,18637,18537,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683759300,4154.25,4155,4154.25,4154.75,0,0,0,0,0,0,0,0,18638,18538,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683759600,4154.5,4154.75,4154,4154,0,0,0,0,0,0,0,0,18639,18539,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683759900,4154,4154.5,4153.75,4154,0,0,0,0,0,0,0,0,18640,18540,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
